Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths_Rate,Recovered_Rate,Deaths / 100 Recovered,No. of countries,Recovery Rate,Fatality Rate
5504542,347703,2180605,2976234,87335,1178,63050,6.32,39.61,15.95,187,0.39614649138838437,0.06316656317637326
5597064,351906,2235118,3010040,92742,4203,54513,6.29,39.93,15.74,187,0.39933758127475405,0.06287332072672387
5699664,357119,2297613,3044932,102600,5213,62495,6.27,40.31,15.54,187,0.4031137624954734,0.06265614955548257
5818978,361820,2363746,3093412,119314,4701,66133,6.22,40.62,15.31,187,0.4062132560047486,0.06217930365091602
5940145,366562,2440127,3133456,121167,4742,76381,6.17,41.08,15.02,187,0.4107857636471837,0.06170926803975324
6077978,370718,2509981,3197279,137833,4156,69854,6.1,41.3,14.77,187,0.4129631597876794,0.060993639661084655
6185530,373606,2585589,3226335,107552,2888,75608,6.04,41.8,14.45,187,0.4180060560695688,0.06039999805998839
6280725,376674,2639599,3264452,95195,3068,54010,6.0,42.03,14.27,187,0.4202697936941993,0.05997301266971568
6401536,381497,2743083,3276956,121577,4823,103484,5.96,42.85,13.91,187,0.42850387781932336,0.059594603545149165
6520924,387069,2821430,3312425,119389,5572,78347,5.94,43.27,13.72,187,0.43267334506582195,0.05935799895842982
6647861,392218,2890776,3364867,126937,5149,69346,5.9,43.48,13.57,187,0.4348430269525792,0.058999127689342484
6778724,396994,2959037,3422693,130863,4776,68261,5.86,43.65,13.42,187,0.4365182886926802,0.058564709228462464
6914666,400875,3030214,3483577,135942,3881,71177,5.8,43.82,13.23,187,0.43822998825973664,0.05797460065316242
7026925,403617,3084718,3538590,112259,2742,54504,5.74,43.9,13.08,187,0.43898547373139746,0.057438637810991296
7129150,407314,3235640,3486196,102225,3697,150922,5.71,45.39,12.59,187,0.45386055841159184,0.05713359937720486
7253492,412236,3317121,3524135,124342,4922,81481,5.68,45.73,12.43,187,0.4573136635430218,0.0568327641362257
7387517,417441,3395154,3574922,134025,5205,78033,5.65,45.96,12.3,187,0.459579856127573,0.05650626590774681
7525631,422215,3480121,3623295,138114,4774,84967,5.61,46.24,12.13,187,0.46243577448854456,0.056103601146535086
7654725,426512,3558933,3669280,129094,4297,78812,5.57,46.49,11.98,187,0.46493283560154025,0.055718788068807173
7790735,430750,3644048,3715937,136010,4238,85115,5.53,46.77,11.82,187,0.46774123365767156,0.05529003361043599
7924156,434124,3714006,3776026,133421,3374,69958,5.48,46.87,11.69,187,0.4686942054144315,0.05478488813193481
8043794,437549,3793406,3812839,119638,3425,79400,5.44,47.16,11.53,187,0.4715941258565299,0.05439584852620542
8185197,444416,3890800,3849981,141403,6867,97394,5.43,47.53,11.42,187,0.4753459202020428,0.0542950890491701
8327050,449671,4008201,3869178,141853,5255,117401,5.4,48.13,11.22,187,0.4813470556799827,0.05400123693264722
8466978,454700,4088826,3923452,139928,5029,80625,5.37,48.29,11.12,187,0.48291444716166737,0.05370274967054361
8647784,460973,4183298,4003513,180954,6273,94472,5.33,48.37,11.02,187,0.4837421933757827,0.05330533232559925
8805336,465222,4298603,4041511,157552,4249,115305,5.28,48.82,10.82,187,0.48818159806735373,0.05283409968682626
8933875,469185,4366875,4097815,128539,3963,68272,5.25,48.88,10.74,187,0.4887996530061144,0.05251752459039331
9071733,472756,4458093,4140884,137858,3571,91218,5.21,49.14,10.6,187,0.49142683101453716,0.05211308577975123
9237071,478067,4561696,4197308,165338,5311,103603,5.18,49.38,10.48,187,0.49384658838283263,0.05175525878278948
9408254,483328,4677005,4247921,171183,5261,115309,5.14,49.71,10.33,187,0.4971172121841098,0.051372762682640155
9586141,489955,4769458,4326728,177887,6627,92453,5.11,49.75,10.27,187,0.4975368086073426,0.05111076500961127
